Type;SIRET;Numero PV;Raison sociale;Adresse;CP;UL;Ville;Département;Région;IDCC;FD;Lib IDCC;Date;Coll;Inscrits;Votants;sve_total;CGT;CFDT;CGT-FO;CFTC;CFE-CGC;SOLIDAIRES;UNSA;AUTRES
CSE;33831013900021;4979133;EHPAD ASSOCIATIF;21 RUE TRAS LA MURAILLE;34190;GANGES;GANGES;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;13/11/2023;5;58;45;45;45;0;0;0;0;0;0;0
CSE;77568873200756;5008331;CENTRE ST PIERRE;ROUTE DE VALROS;34290;AGDE PEZENAS;MONTBLANC;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;27/11/2023;2;39;25;22;22;0;0;0;0;0;0;0
CSE;77568873200756;5008332;CENTRE ST PIERRE;ROUTE DE VALROS;34290;AGDE PEZENAS;MONTBLANC;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;27/11/2023;1;30;19;18;18;0;0;0;0;0;0;0
CSE;34744985200032;5066228;CNRS LA CLAIRIERE;55  RUE DU MAS ROUGE;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;11/12/2023;5;17;15;6;0;0;6;0;0;0;0;0
CSE;77568873211928;5081317;SAVS ADJ EST;515 RUE DE L INDUSTRIE;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;27/11/2023;2;52;42;38;38;0;0;0;0;0;0;0
CSE;77568873211928;5081318;SAVS ADJ EST;515 RUE DE L INDUSTRIE;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;27/11/2023;1;5;4;4;4;0;0;0;0;0;0;0
CSE;34034342500328;5110192;MECS LES MARINIERS;2 RUE DU PASTEUR BENOIT;34200;SETE;SETE;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;26/01/2024;5;80;36;30;30;0;0;0;0;0;0;0
CSE;77606059200081;5172136;ASSOCIATION GAMMES;6 RUE SAINT BARTHELEMY;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;13/03/2024;1;178;88;84;25,2;25,2;0;8,4;0;25,2;0;0
CSE;77606059200081;5172137;ASSOCIATION GAMMES;6 RUE SAINT BARTHELEMY;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;13/03/2024;4;22;5;5;1,5;1,5;0;0,5;0;1,5;0;0
CSE;43997564001580;5236843;PARTAGE ET VIE - RESIDENCE CIEL BLEU;38 RUE LAKANAL;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;04/06/2024;5;29;23;19;19;0;0;0;0;0;0;0
CSE;41359698200020;4644194;ADY;RUE DU TRAITE DE ROME;34430;MONTPELLIER;SAINT-JEAN-DE-VEDAS;34;Occitanie;43;FD CGT COMMERCE;IMPORTATION EXPORTATION COMMISSION COURTAGE;12/04/2022;5;20;2;1;0;0;1;0;0;0;0;0
CSE;41101042400033;4674667;ALTRAD PLETTAC MEFRAN;16 AVENUE DE LA GARDIE;34510;AGDE PEZENAS;FLORENSAC;34;Occitanie;43;FD CGT COMMERCE;IMPORTATION EXPORTATION COMMISSION COURTAGE;29/06/2022;2;29;17;17;0;17;0;0;0;0;0;0
CSE;41101042400033;4674668;ALTRAD PLETTAC MEFRAN;16 AVENUE DE LA GARDIE;34510;AGDE PEZENAS;FLORENSAC;34;Occitanie;43;FD CGT COMMERCE;IMPORTATION EXPORTATION COMMISSION COURTAGE;29/06/2022;1;42;22;17;17;0;0;0;0;0;0;0
CSE;89070836500022;4584511;OTERRA;92 AVENUE DES BARRONNES;34730;LUNEL;PRADES LE LEZ;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;02/03/2022;2;71;55;54;0;54;0;0;0;0;0;0
CSE;39333946000023;4659305;SBM FORMULATION;AVENUE JEAN FOUCAULT CS 621;34535;MONTPELLIER;BEZIERS;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;23/05/2022;2;61;49;48;16;24;0;0;0;0;8;0
CSE;39333946000023;4659306;SBM FORMULATION;AVENUE JEAN FOUCAULT CS 621;34535;MONTPELLIER;BEZIERS;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;23/05/2022;1;46;30;28;24;0;2;0;0;0;2;0
CSE;32436902400041;4973852;SA ESTEBAN;ZAC DES CARTES RUE DU PERPIGNAN;34880;MONTPELLIER;LAVERUNE;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;07/11/2023;1;13;12;12;0;12;0;0;0;0;0;0
CSE;32436902400041;4973853;SA ESTEBAN;ZAC DES CARTES RUE DU PERPIGNAN;34880;MONTPELLIER;LAVERUNE;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;07/11/2023;3;29;27;25;0;25;0;0;0;0;0;0
CSE;32436902400041;4973854;SA ESTEBAN;ZAC DES CARTES RUE DU PERPIGNAN;34880;MONTPELLIER;LAVERUNE;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;07/11/2023;2;37;33;29;0;29;0;0;0;0;0;0
CSE;38802115600103;4992211;SAIPOL;ZONE PORTUAIRE;34204;SETE;SETE;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;26/10/2023;1;41;35;33;12;4;0;0;0;17;0;0
CSE;38802115600103;4992213;SAIPOL;ZONE PORTUAIRE;34204;SETE;SETE;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;26/10/2023;2;52;44;38;17;16;0;0;0;5;0;0
CSE;42316356700021;5015485;GRANDES HUILERIES DU MIDI;2  RUE PAUL LANGEVIN;34500;BEZIERS;BEZIERS;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;24/11/2023;2;10;10;10;2;8;0;0;0;0;0;0
CSE;42316356700021;5015486;GRANDES HUILERIES DU MIDI;2  RUE PAUL LANGEVIN;34500;BEZIERS;BEZIERS;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;24/11/2023;1;12;10;10;10;0;0;0;0;0;0;0
CSE;44460675000032;5063838;MEDINCELL;3 RUE DES FRERES LUMIERE;34830;MONTPELLIER;JACOU;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;27/11/2023;3;112;85;80;0;80;0;0;0;0;0;0
CSE;63205019100196;5289790;TIMAC AGRO FRANCE;ROUTE DE BALARUC;34200;SETE;SETE;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;15/10/2024;5;18;17;16;0;16;0;0;0;0;0;0
CSE;34761071900010;5217169;GIE GOOD YEAR MIREVAL;RTE DES PLAINES;34110;MONTPELLIER;MIREVAL;34;Occitanie;45;FD CGT CHIMIE;CAOUTCHOUC INDUSTRIE;11/06/2024;1;13;10;10;0;10;0;0;0;0;0;0
CSE;34761071900010;5217170;GIE GOOD YEAR MIREVAL;RTE DES PLAINES;34110;MONTPELLIER;MIREVAL;34;Occitanie;45;FD CGT CHIMIE;CAOUTCHOUC INDUSTRIE;11/06/2024;2;38;34;34;0;34;0;0;0;0;0;0
CSE;40401020900017;5014519;L'AGENCE;MAS DE GRILLE;34438;CLERMONT-L-HERAULT;ST JEAN DE VEDAS CEDEX;34;Occitanie;86;FD CGT FILPAC;PUBLICITE;16/11/2023;4;72;64;59;59;0;0;0;0;0;0;0
